Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
start_ac6ee2d8	narrator	You open your eyes and find yourself surrounded by bright flowers and sweet-smelling fresh air. How did you get here?	game/script.rpy	15	narrator "[what]"
start_138250b7	narrator	You hear a quiet buzzing noise getting closer...	game/script.rpy	17	narrator "[what]"
start_60ef7c83	narrator	and {size=*1.5}closer...{/size}	game/script.rpy	19	narrator "[what]"
start_ba0c8fc0	narrator	and {size=*2}closer...{/size}	game/script.rpy	21	narrator "[what]"
start_dbd307bd	narrator	Suddenly, a tiny bee flies around your head and hovers in front of you!	game/script.rpy	26	narrator "[what]"
start_a0d87a36	tu_unknown	Hey there human friend!	game/script.rpy	28	tu_unknown "[what]"
start_2ed5f881	tu_unknown	Hello hello! Don't bee shy. We're going to get along buzzingly!	game/script.rpy	32	tu_unknown "[what]"
start_012c3b85	tu_unknown	A honey bee, to be exact! But yes!	game/script.rpy	34	tu_unknown "[what]"
start_4ca72723	tu_unknown	Hello hello! So glad you're here. I'm absolutely buzzing with excitement!	game/script.rpy	36	tu_unknown "[what]"
start_e80bbfca	t	I'm Tulip! The hive chose me as your guide for today. If you have any trouble while you're exploring, you can ask me for help!	game/script.rpy	38	t "[what]"
start_80dde6dd	t	Before we get started, tell me about yourself! What kind of place did you come from?	game/script.rpy	39	t "[what]"
start_61a345e7	t	Wonderful! We'll explore a neighborhood that's kinda like yours that needs your help.	game/script.rpy	56	t "[what]"
start_9994a37b	t	I'm here as your guide, so if you get stuck or need advice, just click on my button and I'll buzz on by.	game/script.rpy	58	t "[what]"
start_a44256cd	t	We should get going then. Lots to do, lots to see! Are you ready?	game/script.rpy	60	t "[what]"
start_8673ae9b	t	Yay! Let's zoom!	game/script.rpy	64	t "[what]"
start_6d7d9960	t	Don't worry, I'll be right by your side if you need help! We're two bees in a pod. Hehe.	game/script.rpy	66	t "[what]"
tulipchat_01edc53c	t	Hi human friend! How's it going?	game/script.rpy	73	t "[what]"
tulipchat_51dde63f	t	I would start by talking to people around town to see what they have to say!	game/script.rpy	77	t "[what]"
tulipchat_9d3cf208	t	If you've done that already, try opening your notebook to see what information you've collected, and think about what else you want to know.	game/script.rpy	78	t "[what]"
tulipchat_a4de152a	t	I'd be happy to help! If you tell me what evidence you've found, I can give you some advice on improving your persuasive writing.	game/script.rpy	90	t "[what]"
tulipchat_e1da2903	t	No problem. Let me know when you're ready to share!	game/script.rpy	94	t "[what]"
tulipchat_f7721617	t	Do you have other evidence to share?	game/script.rpy	131	t "[what]"
tulipchat_7b931656	t	Okay! Come back when you're ready.	game/script.rpy	136	t "[what]"
tulipchat_8ab85151	t	You're doing great! Keep exploring and gathering notes, and your argument will get even stronger.	game/script.rpy	174	t "[what]"
tulipchat_6798c2ae	t	Okay! I'm here if you need me.	game/script.rpy	179	t "[what]"
tulipchat_6798c2ae_1	t	Okay! I'm here if you need me.	game/script.rpy	188	t "[what]"
tulipchat_a144bd7b	t	Any more questions?	game/script.rpy	217	t "[what]"
tulipchat_eb99e603	t	No worries! Buzz me again if something comes up.	game/script.rpy	222	t "[what]"
tulipchat_1ff87f46	t	Let me know if you need anything else!	game/script.rpy	251	t "[what]"
tulipchat_6798c2ae_2	t	Okay! I'm here if you need me.	game/script.rpy	256	t "[what]"
tulipchat_168e7784	t	Don't bee a stranger! Hehe.	game/script.rpy	261	t "[what]"
begin_5503510e	"Friendly Stranger"	Hey what's up - you new to the neighborhood?	game/script.rpy	282	"Friendly Stranger" "[what]"
begin_e4863cda	"Friendly Stranger"	Welcome to the neighborhood! I live right down the street.	game/script.rpy	286	"Friendly Stranger" "[what]"
begin_06da6ccc	"Friendly Stranger"	I dunno where you moved from, but we don't do the whole 'mysterious stranger' thing here.	game/script.rpy	288	"Friendly Stranger" "[what]"
